_time,_value,CTYPE,CTYPEC,ETYPE,_field
2026-04-02 23:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-03 00:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-03 01:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-03 02:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-03 03:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-03 04:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-03 05:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-03 06:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-03 07:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-03 08:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-03 09:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-03 10:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-03 11:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-03 12:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-03 13:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-03 14:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-03 15:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-03 16:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-03 17:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-03 18:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-03 19:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-03 20:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-03 21:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-03 22:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-03 23:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-04 00:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-04 01:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-04 02:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-04 03:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-04 04:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-04 05:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-04 06:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-04 07:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-04 08:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-04 09:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-04 10:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-04 11:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-04 12:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-04 13:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-04 14:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-04 15:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-04 16:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-04 17:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-04 18:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-04 19:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-04 20:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
2026-04-04 21:05:00+00:00,0.254084,electricity,consumption,priceprovider,PRICE
